final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0321,1078.98,100.0,0.0,2015-06-04 11:00:00,1,1881,11,1869,0.1,5,-270.41,100,40,5,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0394,1017.75,100.0,0.0,2015-06-29 18:00:00,2,2850,45,2803,0.09,6,-162.02,100,40,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0734,1017.75,100.0,0.0,2015-03-18 23:00:00,1,2229,21,2207,0.11,8,-223.68,100,40,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.1142,1154.89,100.0,0.0,2013-11-07 13:00:00,2,963,7,954,0.13,8,-289.64,100,40,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0378,1007.99,100.0,0.0,2015-09-22 10:00:00,3,2535,41,2491,0.06,3,-113.34,100,60,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.03,1007.99,100.0,0.0,2015-06-03 19:00:00,2,1602,16,1584,0.06,3,-184.36,100,60,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0398,1007.99,100.0,0.0,2015-06-29 00:00:00,1,2426,39,2386,0.07,5,-134.82,100,60,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0788,1007.99,100.0,0.0,2015-03-18 22:00:00,0,1846,18,1828,0.09,5,-221.32,100,60,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0398,1007.99,100.0,0.0,2015-06-29 00:00:00,1,2426,39,2386,0.07,5,-134.82,100,60,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.058,1007.99,100.0,0.0,2015-04-29 17:00:00,0,2049,19,2030,0.1,7,-221.32,100,60,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.035,1109.29,100.0,0.0,2015-03-16 15:00:00,2,1683,10,1671,0.12,8,-343.97,100,60,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,0.0094,1199.33,100.0,0.0,2015-09-24 15:00:00,3,2806,50,2753,0.06,3,-128.08,200,15,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,0.005,1267.21,100.0,0.0,2015-07-13 11:00:00,2,3185,57,3126,0.1,5,-136.37,200,15,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0439,1007.99,100.0,0.0,2015-06-02 13:00:00,1,2710,28,2681,0.1,5,-188.06,200,15,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0446,1007.99,100.0,0.0,2015-03-18 22:00:00,0,1806,13,1793,0.1,5,-260.15,200,15,5,250,10,0.01,EURUSD,False
